repeat,repeat_seed,fold_seeds,acc,f1,auc,precision,recall
1,42,"[4200, 4201, 4202, 4203, 4204]",0.8216524216524217,0.8583651642475173,0.8463636363636364,0.8205710354317166,0.9007352941176471
2,43,"[4300, 4301, 4302, 4303, 4304]",0.7985754985754985,0.8412324929971989,0.855327540106952,0.8038847117794485,0.8889705882352942
3,44,"[4400, 4401, 4402, 4403, 4404]",0.8131054131054132,0.8551033386327503,0.8619986631016043,0.819047619047619,0.9014705882352942
4,45,"[4500, 4501, 4502, 4503, 4504]",0.8062678062678061,0.8527908005307385,0.869779411764706,0.819047619047619,0.9132352941176471
5,46,"[4600, 4601, 4602, 4603, 4604]",0.7988603988603988,0.8420995670995671,0.8760360962566844,0.8025025799793601,0.8889705882352942
6,47,"[4700, 4701, 4702, 4703, 4704]",0.7991452991452992,0.8461450296744415,0.8490374331550804,0.7893360853113175,0.9132352941176471
7,48,"[4800, 4801, 4802, 4803, 4804]",0.7991452991452992,0.8429224679224679,0.8725133689839574,0.8044117647058823,0.8882352941176471
8,49,"[4900, 4901, 4902, 4903, 4904]",0.7982905982905983,0.8419892636997901,0.8512366310160427,0.8179545454545455,0.8882352941176471
9,50,"[5000, 5001, 5002, 5003, 5004]",0.7908831908831908,0.8367875897287661,0.8396524064171121,0.7913725490196077,0.8882352941176471
10,51,"[5100, 5101, 5102, 5103, 5104]",0.7911680911680911,0.8369194376315118,0.8399665775401068,0.795513963161022,0.8882352941176471
